datetime,pair,close,signal,raw_signal,confidence,dir_edge,p_buy,p_sell,p_hold,model
2026-09-16 15:00:00,EURUSD,1.154068112373352,SELL,SELL,0.4696,0.2366,0.233,0.4696,0.2974,xgboost
2026-09-16 16:00:00,EURUSD,1.1538017988204956,HOLD,HOLD,0.4614,0.1166,0.211,0.3276,0.4614,xgboost
2026-09-16 17:00:00,EURUSD,1.1542012691497805,HOLD,SELL,0.3996,0.1911,0.2085,0.3996,0.3918,xgboost
2026-09-16 18:00:00,EURUSD,1.147315263748169,HOLD,HOLD,0.5695,0.053,0.1888,0.2417,0.5695,xgboost
2026-09-16 19:00:00,EURUSD,1.1475785970687866,HOLD,HOLD,0.7289,0.0199,0.1256,0.1455,0.7289,xgboost
2026-09-16 20:00:00,EURUSD,1.1466574668884275,HOLD,HOLD,0.7133,0.0081,0.1393,0.1474,0.7133,xgboost
2026-09-16 21:00:00,EURUSD,1.1465259790420532,HOLD,HOLD,0.7109,0.0264,0.1314,0.1577,0.7109,xgboost
2026-09-16 22:00:00,EURUSD,1.1470520496368408,HOLD,HOLD,0.6898,0.0675,0.1214,0.1888,0.6898,xgboost
2026-09-16 23:00:00,EURUSD,1.1471836566925049,HOLD,HOLD,0.6114,0.0657,0.1615,0.2271,0.6114,xgboost
2026-09-17 00:00:00,EURUSD,1.1462632417678833,HOLD,HOLD,0.5061,0.0893,0.2023,0.2916,0.5061,xgboost
2026-09-17 01:00:00,EURUSD,1.1461317539215088,HOLD,HOLD,0.4405,0.0912,0.2342,0.3254,0.4405,xgboost
2026-09-17 02:00:00,EURUSD,1.1461317539215088,HOLD,HOLD,0.4271,0.1176,0.2276,0.3452,0.4271,xgboost
2026-09-17 03:00:00,EURUSD,1.1463946104049685,HOLD,HOLD,0.4236,0.082,0.2472,0.3292,0.4236,xgboost
2026-09-17 04:00:00,EURUSD,1.1469204425811768,SELL,SELL,0.4263,0.1466,0.2797,0.4263,0.2939,xgboost
2026-09-17 05:00:00,EURUSD,1.1469204425811768,SELL,SELL,0.4296,0.0677,0.3618,0.4296,0.2086,xgboost
2026-09-17 06:00:00,EURUSD,1.148369312286377,SELL,SELL,0.5373,0.2749,0.2624,0.5373,0.2004,xgboost
2026-09-17 07:00:00,EURUSD,1.1477103233337402,SELL,SELL,0.5439,0.2596,0.2844,0.5439,0.1717,xgboost
2026-09-17 08:00:00,EURUSD,1.1477103233337402,SELL,SELL,0.5234,0.2346,0.2887,0.5234,0.1879,xgboost
2026-09-17 09:00:00,EURUSD,1.1475785970687866,SELL,SELL,0.4809,0.1647,0.3162,0.4809,0.203,xgboost
2026-09-17 10:00:00,EURUSD,1.1481056213378906,SELL,SELL,0.5341,0.28,0.2542,0.5341,0.2117,xgboost
2026-09-17 11:00:00,EURUSD,1.1477103233337402,SELL,SELL,0.5004,0.2229,0.2775,0.5004,0.222,xgboost
2026-09-17 12:00:00,EURUSD,1.1494252681732178,SELL,SELL,0.4784,0.1883,0.2901,0.4784,0.2315,xgboost
2026-09-17 13:00:00,EURUSD,1.1492931842803955,HOLD,HOLD,0.4422,0.1368,0.2105,0.3473,0.4422,xgboost
2026-09-17 14:00:00,EURUSD,1.1488970518112185,SELL,SELL,0.4113,0.1733,0.238,0.4113,0.3508,xgboost
2026-09-17 15:00:00,EURUSD,1.1482374668121338,HOLD,HOLD,0.4806,0.1336,0.1929,0.3265,0.4806,xgboost
2026-09-17 16:00:00,EURUSD,1.1479737758636477,HOLD,HOLD,0.5917,0.08,0.1642,0.2442,0.5917,xgboost
2026-09-17 17:00:00,EURUSD,1.1479737758636477,HOLD,HOLD,0.6024,0.0803,0.1586,0.239,0.6024,xgboost
2026-09-17 18:00:00,EURUSD,1.1478420495986938,HOLD,HOLD,0.6504,0.0563,0.1467,0.2029,0.6504,xgboost
2026-09-17 19:00:00,EURUSD,1.1482374668121338,HOLD,HOLD,0.5839,0.0993,0.1584,0.2577,0.5839,xgboost
2026-09-17 20:00:00,EURUSD,1.1479737758636477,HOLD,HOLD,0.6037,0.0603,0.168,0.2283,0.6037,xgboost
2026-09-17 21:00:00,EURUSD,1.1481056213378906,HOLD,HOLD,0.4932,0.1265,0.1901,0.3167,0.4932,xgboost
2026-09-17 22:00:00,EURUSD,1.1481056213378906,HOLD,HOLD,0.4762,0.0902,0.2168,0.307,0.4762,xgboost
2026-09-17 23:00:00,EURUSD,1.1478420495986938,HOLD,HOLD,0.3967,0.1367,0.2333,0.37,0.3967,xgboost
2026-09-18 00:00:00,EURUSD,1.148369312286377,SELL,SELL,0.4483,0.1792,0.2692,0.4483,0.2825,xgboost
2026-09-18 01:00:00,EURUSD,1.1486331224441528,SELL,SELL,0.5003,0.1873,0.3129,0.5003,0.1868,xgboost
2026-09-18 02:00:00,EURUSD,1.1481056213378906,SELL,SELL,0.4941,0.1837,0.3104,0.4941,0.1955,xgboost
2026-09-18 03:00:00,EURUSD,1.1491611003875732,SELL,SELL,0.5479,0.2616,0.2863,0.5479,0.1657,xgboost
2026-09-18 04:00:00,EURUSD,1.1490291357040403,SELL,SELL,0.5572,0.2236,0.3335,0.5572,0.1093,xgboost
2026-09-18 05:00:00,EURUSD,1.1482374668121338,SELL,SELL,0.5428,0.1578,0.385,0.5428,0.0722,xgboost
2026-09-18 06:00:00,EURUSD,1.1486331224441528,SELL,SELL,0.5596,0.1817,0.3779,0.5596,0.0625,xgboost
2026-09-18 07:00:00,EURUSD,1.1488970518112185,SELL,SELL,0.579,0.2082,0.3708,0.579,0.0502,xgboost
2026-09-18 08:00:00,EURUSD,1.1486331224441528,SELL,SELL,0.6719,0.392,0.2799,0.6719,0.0482,xgboost
2026-09-18 09:00:00,EURUSD,1.1486331224441528,SELL,SELL,0.6025,0.27,0.3324,0.6025,0.0651,xgboost
2026-09-18 10:00:00,EURUSD,1.1475785970687866,SELL,SELL,0.5179,0.0982,0.4197,0.5179,0.0624,xgboost
